来源：hk.jobsdb.com,生成时间：2026-06-13 21:22:47,申请总数：43,记录总数：2171
序号,公司,职位,状态,来源,薪资,记录时间
1182,Magic Compass Securities Limited,DevOps Engineer (Trading System),skipped_region,SavedSearch:ai,,2026-06-13 17:42:22
1183,WPP Media Hong Kong Limited,"Senior Manager, Data & Technology",skipped_region,SavedSearch:ai,,2026-06-13 17:42:26
1184,AI Chip Center for Emerging Smart Systems Limited,Lead/ Senior/ Research Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 17:42:38
1185,InfoTech Services ( HK ) Ltd. 資訊科技服務(香港)有限公司,"Contract Analyst Programmer (C39606) – microservices, Python, JS/TypeScript",skipped_reject,SavedSearch:ai,,2026-06-13 17:42:52
1186,UBS AG,APAC Regional Lead - Agency Trading Market Engineering Technology,skipped_reject,SavedSearch:ai,,2026-06-13 17:43:06
1187,KPMG,"Associate Director – Distribution, Insurance Transformation (MJ007216)",skipped_region,SavedSearch:ai,,2026-06-13 17:43:10
1188,Taylor Coulter,Application Project Manager (CRM/ Mobile / Web / Cloud) [Multiple openings],skipped_reject,SavedSearch:ai,,2026-06-13 17:43:21
1189,Advance Focus,SEO Specialist,skipped_reject,SavedSearch:ai,,2026-06-13 17:43:33
1190,Accenture Technology Solutions (HK) Ltd,Technology - Senior Project Manager (ERP),skipped_region,SavedSearch:ai,,2026-06-13 17:43:36
1191,TeamNote Limited,DevOps Engineer,applied,SavedSearch:ai,,2026-06-13 17:44:16
1192,Cathay Pacific Airways Ltd,"Privacy, Data and Artificial Intelligence Compliance Legal Counsel​",skipped_reject,SavedSearch:ai,,2026-06-13 17:44:28
1193,Hong Kong Aircraft Engineering Co Ltd,Data Platform Manager,skipped_region,SavedSearch:ai,,2026-06-13 17:44:31
1194,Techforce Group Limited,Data Architect | FSI Data Platform Transformation & Modernization | Up to HKD70k,skipped_region,SavedSearch:ai,,2026-06-13 17:44:35
1195,CL Technical Services Ltd.,"Assistant Project Manager (AI Solution, Project Management)",skipped_reject,SavedSearch:ai,,2026-06-13 17:44:47
1196,RecruitFirst Limited,Senior IT Consulting Leader,skipped_reject,SavedSearch:ai,,2026-06-13 17:44:58
1197,Morgan Mckinley Limited,Cloud Solution Architect,skipped_reject,SavedSearch:ai,,2026-06-13 17:45:11
1198,Michael Page International (HK) Ltd,VP - Product managment,skipped_region,SavedSearch:ai,,2026-06-13 17:45:14
1199,ST Partnership Limited,Enterprise Data Platform Lead (Banking/ FSI),skipped_reject,SavedSearch:ai,,2026-06-13 17:45:26
1200,ADECCO,Chief Technology Officer (CTO) - Government/NGO/education,skipped_reject,SavedSearch:ai,,2026-06-13 17:45:38
1201,OAC Group Limited,Associate Director/Director - Private Equity,skipped_reject,SavedSearch:ai,,2026-06-13 17:46:01
1202,Career International AP (Hong Kong) Limited,Software Delivery Project Manager,skipped_region,SavedSearch:ai,,2026-06-13 17:46:04
1203,Robert Half Hong Kong Limited,Global Prop Trading Firm - Trade Ops (Up to 750K),skipped_region,SavedSearch:ai,,2026-06-13 17:46:07
1204,InfoTech Services ( HK ) Ltd. 資訊科技服務(香港)有限公司,"Contract Analyst Programmer (C39333) - React, Python, e-Form",skipped_region,SavedSearch:ai,,2026-06-13 17:46:10
1205,Pathsight Limited,Account Executive / Account Manager / Sales Manager - IT,skipped_reject,SavedSearch:ai,,2026-06-13 17:46:22
1206,Wafer Systems (Asia) Limited,Systems Analyst / Senior Systems Analyst,skipped_reject,SavedSearch:ai,,2026-06-13 17:46:34
1207,Don Nelson Recruitment Limited,Chief Information Officer,skipped_reject,SavedSearch:ai,,2026-06-13 17:46:47
1208,Securities and Futures Commission,Manager - Intermediaries [Ref.: SFC/M/INT/IS/260116],skipped_region,SavedSearch:ai,,2026-06-13 17:46:51
1209,Page Executive,CIO & Portfolio Manager (APAC includingTaiwan Equities Focus),skipped_reject,SavedSearch:ai,,2026-06-13 17:47:02
1210,"CLPS Technology (Hong Kong) Co., Limited",RPA Developer,skipped_reject,SavedSearch:ai,,2026-06-13 17:47:15
1211,Oursky Limited,Business Development Executives (FormX.ai),skipped_reject,SavedSearch:ai,,2026-06-13 17:47:29
1212,"Centre for Artificial Intelligence and Robotics, HKISI, CAS",Industrial Transformation Specialist,skipped_reject,SavedSearch:ai,,2026-06-13 17:47:44
1213,"Terra Nova (Asia) Co., Limited",Channel Sales Manager – Tech/SI Partners & CRM ecosystem,skipped_reject,SavedSearch:ai,,2026-06-13 17:48:00
1214,Techforce Group Limited,Senior Software Developer | Luxury Retail Fashion House,skipped_region,SavedSearch:ai,,2026-06-13 17:48:04
1215,Cannex.AI,Professional CFO Consultant (Big 4 Audit Experience is a Must | AI Savvy),skipped_reject,SavedSearch:ai,,2026-06-13 17:48:21
1216,CyberWorld (Asia) Ltd,Technical Consultant,skipped_reject,SavedSearch:ai,,2026-06-13 17:48:34
1217,Morgan Mckinley Limited,"Solution Architect (Perm, up to 90k)",skipped_region,SavedSearch:ai,,2026-06-13 17:48:39
1218,Securities Finance Association Limited,Researcher Manager,skipped_region,SavedSearch:ai,,2026-06-13 17:48:43
1219,CL Technical Services Ltd.,"System Analyst (Docker, Data, over $50K)",skipped_reject,SavedSearch:ai,,2026-06-13 17:49:00
1220,Michael Page International (HK) Ltd,HRIS Manager - SAP Success Factors,skipped_region,SavedSearch:ai,,2026-06-13 17:49:04
1221,Captar Partners Limited,SVP - Data Platform Lead - Regional Bank,skipped_reject,SavedSearch:ai,,2026-06-13 17:49:17
1222,UBS AG,Quantitative Analyst – Client Analytics & TCA,skipped_reject,SavedSearch:ai,,2026-06-13 17:49:31
1223,Cornerstone Global Partners,Solution Architect (Data Platform),skipped_region,SavedSearch:ai,,2026-06-13 17:49:35
1224,Michael Page International (HK) Ltd,Insurance - Senior Data Business Analyst,skipped_reject,SavedSearch:ai,,2026-06-13 17:49:50
1225,Robert Walters (HK) Ltd,Data Engineer - Reputed Investment Bank,skipped_reject,SavedSearch:ai,,2026-06-13 17:50:04
1226,"The Hongkong Electric Co., Ltd",Principal Data Centre Specialist (Ref: IT-INT-ITO-PDCS-JD),skipped_region,SavedSearch:ai,,2026-06-13 17:50:09
1227,Oliver James Associates Limited,Web Developer  (AI & Modern Web Applications),skipped_reject,SavedSearch:ai,,2026-06-13 17:50:23
1228,HR Dynamics,IT Director (Regional + AI Savvy),skipped_reject,SavedSearch:ai,,2026-06-13 17:50:38
1229,SecuRex Solution Limited,Marketing Manager,skipped_reject,SavedSearch:ai,,2026-06-13 17:50:51
1230,ADECCO,Infrastructure Technical Architect,skipped_region,SavedSearch:ai,,2026-06-13 17:50:55
1231,Orient Overseas Container Line Ltd (OOCL),Technical Analyst - Cloud Engineering,skipped_reject,SavedSearch:ai,,2026-06-13 17:51:08
1232,Appcara Hong Kong Limited,Product Architect (Development & Strategic Delivery),skipped_reject,SavedSearch:ai,,2026-06-13 17:51:24
1233,CMB Wing Lung Bank Limited,"Manager, System Infrastructure & Data Management (Retail Finance)",skipped_reject,SavedSearch:ai,,2026-06-13 17:51:39
1234,VTECH Corporate Services Ltd,Software Solution Specialist (VCO317/J04),skipped_reject,SavedSearch:ai,,2026-06-13 17:51:53
1235,Long Bridge Technology HK Limited,Project Manager (Trading System),skipped_region,SavedSearch:ai,,2026-06-13 17:51:56
1236,SDIC Securities Wealth Management (Hong Kong) Limtied,Vice President / Senior Vice President -Senior (Equity) Sales,skipped_region,SavedSearch:ai,,2026-06-13 17:52:01
1237,Maxlytics Limited,Business Director (Founding Member),skipped_region,SavedSearch:ai,,2026-06-13 17:52:05
1238,Spark Education (Hong Kong) Limited,Backend Architecture Engineer,skipped_region,SavedSearch:ai,,2026-06-13 17:52:10
1239,Allworth Consultants Limited,Sales Manager (ICT Solutions),skipped_reject,SavedSearch:ai,,2026-06-13 17:52:24
1240,Captar Partners Limited,Director of Operation Transformation & Innovation (Insurance),skipped_region,SavedSearch:ai,,2026-06-13 17:52:29
1241,PeopleSearch Limited,Head of Growth Marketing (FinTech / Trading Platform),skipped_region,SavedSearch:ai,,2026-06-13 17:52:33
1242,Green Tomato Limited,Senior Cloud Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 17:52:46
1243,PwC,Business Development Manager - Technology Risk - Consulting - Hong Kong,skipped_region,SavedSearch:ai,,2026-06-13 17:52:50
1244,Morgan Mckinley Limited,"Vice President, Investment, Venture Capital",skipped_region,SavedSearch:ai,,2026-06-13 17:52:54
1245,Bank of China (Hong Kong) Limited,Customer Analytics & Data Science Manager (Campaign),skipped_region,SavedSearch:ai,,2026-06-13 17:52:58
1246,Morgan Half International (Hong Kong) Limited,Data Engineer | ETL / Python / SQL,skipped_reject,SavedSearch:ai,,2026-06-13 17:53:12
1247,PeopleSearch Limited,MBS Quantitative Analyst,skipped_region,SavedSearch:ai,,2026-06-13 17:53:17
1248,CardApp Limited,Assistant Sales Manager / Account Manager,skipped_reject,SavedSearch:ai,,2026-06-13 17:53:29
1249,Hong Kong Exchanges & Clearing Ltd,Data Architect (AVP) – Chief Data Office - IT,skipped_reject,SavedSearch:ai,,2026-06-13 17:53:44
1250,Long Bridge HK Limited,Business Analyst -Brokerage System,skipped_reject,SavedSearch:ai,,2026-06-13 17:54:00
1251,China Mobile Hong Kong Company Limited,Senior Cybersecurity Analyst/Cybersecurity Analyst (Data Security),skipped_reject,SavedSearch:ai,,2026-06-13 17:54:14
1252,Hong Kong Technology Venture Company Limited,Assistant Marketing Manager – Quick Commerce,skipped_reject,SavedSearch:ai,,2026-06-13 17:54:25
1253,Hyphen Connect Limited,Social Media Content Creator (Instagram Reels | AI-Driven),skipped_region,SavedSearch:ai,,2026-06-13 17:54:29
1254,Cathay Pacific Airways Ltd,Data Scientist - Commercial Analytics,skipped_region,SavedSearch:ai,,2026-06-13 17:54:33
1255,Venes Technology Limited,In House Lawyer & Property Executive,skipped_reject,SavedSearch:ai,,2026-06-13 17:54:46
1256,FUJIFILM BI,Solution Designer (Pre-Sales),skipped_reject,SavedSearch:ai,,2026-06-13 17:55:01
1257,PCCW Services Limited,"Software Architect/ Technical Head, Digital Platforms",skipped_reject,SavedSearch:ai,,2026-06-13 17:55:14
1258,Harbridge Partners Limited,"Team Head, E-Commerce & AI Marketing",skipped_region,SavedSearch:ai,,2026-06-13 17:55:18
1259,China Mobile Hong Kong Company Limited,Assistant Marketing Manager (AI+Service),skipped_reject,SavedSearch:ai,,2026-06-13 17:55:30
1260,Seamatch Asia Limited,"Project Management Assistant (Bank) CISA, CISSP, PMP / IT Business Analyst",skipped_region,SavedSearch:ai,,2026-06-13 17:55:35
1261,致美醫學美容集團有限公司,Marketing Manager (Hong Kong & Mainland Markets),skipped_reject,SavedSearch:ai,,2026-06-13 17:55:54
1262,FreightAmigo Services Limited,Analyst Programmer/Senior Analyst Programmer (5-day work),skipped_reject,SavedSearch:ai,,2026-06-13 17:56:07
1263,Seamatch Asia Limited,Business Analyst/Procurement Officer/ IT Business Analyst AI,skipped_region,SavedSearch:ai,,2026-06-13 17:56:11
1264,Hong Kong Aircraft Engineering Co Ltd,Business Insights & Development Analyst,skipped_region,SavedSearch:ai,,2026-06-13 17:56:16
1265,Eclipse Options (HK) Limited,Data Systems Team Lead,skipped_region,SavedSearch:ai,,2026-06-13 17:56:20
1266,BDO Limited,System Analyst,skipped_region,SavedSearch:ai,,2026-06-13 17:56:24
1267,Bayou Talent,Assistant Manager/ Senior Consultant (AIOps solutions),skipped_reject,SavedSearch:ai,,2026-06-13 17:56:41
1268,TEKsystems,Tech Lead,skipped_region,SavedSearch:ai,,2026-06-13 17:56:46
1269,Virtual Gaming Technology Limited,Software Engineer - Frontend,skipped_reject,SavedSearch:ai,,2026-06-13 17:56:59
1270,"Centre for Regenerative Medicine and Health, Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences",Postdoctoral Research Fellow,skipped_reject,SavedSearch:ai,,2026-06-13 17:57:11
1271,Hong Kong Education City Limited,Project Officer,skipped_reject,SavedSearch:ai,,2026-06-13 17:57:29
1272,Bank of China (Hong Kong) Limited,(Senior) Technology Risk Manager (2nd line of defense),skipped_reject,SavedSearch:ai,,2026-06-13 17:57:42
1273,Orient Overseas Container Line Ltd (OOCL),Technical Analyst (AI Data Engineer),skipped_reject,SavedSearch:ai,,2026-06-13 17:57:55
1274,Richemont Asia Pacific Limited,Regional Digital Analyst (1-Year Contract),skipped_reject,SavedSearch:ai,,2026-06-13 17:58:11
1275,OCBC Bank (Hong Kong) Limited,"Assistant Vice President, Data Engineer",skipped_reject,SavedSearch:ai,,2026-06-13 17:58:22
1276,KPMG,"Manager – Operations, Insurance Transformation (MJ007215)",skipped_region,SavedSearch:ai,,2026-06-13 17:58:27
1277,Joyful Capital HK Limited,Senior Quantitative Developer,skipped_reject,SavedSearch:ai,,2026-06-13 17:58:39
1278,Towngas Telecommunications Company Limited,Sales Manager,skipped_reject,SavedSearch:ai,,2026-06-13 17:58:55
1279,CITIC Telecom International CPC Limited,Solutions Consultant,skipped_region,SavedSearch:ai,,2026-06-13 17:58:59
1280,Beyond Eternity Space Limited,DevOps Engineer/Senior DevOps Engineer(New Headcount),skipped_reject,SavedSearch:ai,,2026-06-13 17:59:14
1281,TEKsystems,"Data Engineer (AWS, Tableau) - Financial Services Industry",skipped_region,SavedSearch:ai,,2026-06-13 17:59:18
1282,"Centre for Regenerative Medicine and Health, Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences",Postdoctoral Research Fellow,skipped_reject,SavedSearch:ai,,2026-06-13 17:59:35
1283,Yusen Logistics Global Management (Hong Kong) Limited,"Data Architect, Data Architecture and Platform Team",skipped_reject,SavedSearch:ai,,2026-06-13 17:59:50
1284,"Nextlink (HK) Technology Co., Ltd.",Solutions Architect Lead,skipped_reject,SavedSearch:ai,,2026-06-13 18:00:06
1285,Customindz Limited,"Business Development Manager (Construction, Government)",skipped_reject,SavedSearch:ai,,2026-06-13 18:00:21
1286,ADECCO Personnel Limited,Embedded Software Engineer (Innovative Drone | Circuit | MCU & FreeRTOS | x13M),skipped_region,SavedSearch:ai,,2026-06-13 18:00:25
1287,Magic Compass Securities Limited,DevOps Engineer (Trading System),skipped_reject,SavedSearch:ai,,2026-06-13 18:00:41
1288,China Unicom (Hong Kong) Operations Limited,Director of Cloud and Cross-border Network Product R&D,skipped_reject,SavedSearch:ai,,2026-06-13 18:00:57
1289,PhoMedics Limited,Chief Imaging Scientist,skipped_reject,SavedSearch:ai,,2026-06-13 18:01:14
1290,See Change Education,Product Manager,skipped_reject,SavedSearch:ai,,2026-06-13 18:01:31
1291,KLN Logistics (Hong Kong) Limited,"Senior Business Analyst, HK IT",skipped_reject,SavedSearch:ai,,2026-06-13 18:01:44
1292,TEKsystems,(Senior) Backend Engineer / Analyst Programmer,skipped_region,SavedSearch:ai,,2026-06-13 18:01:48
1293,ARCH Education Group Limited,Director of Marketing and Business Development (Education),skipped_reject,SavedSearch:ai,,2026-06-13 18:02:02
1294,QUANTUM BAY INNOVATIONS LIMITED,Web3.0 Back-end development engineer/Web3后端开发工程师,skipped_reject,SavedSearch:ai,,2026-06-13 18:02:16
1295,Hays Hong Kong Limited,Technology Project Manager (Insurance Platform),skipped_region,SavedSearch:ai,,2026-06-13 18:02:20
1296,Hays Hong Kong Limited,"Head of Digital & Customer Experience, Regional Insurer",skipped_region,SavedSearch:ai,,2026-06-13 18:02:24
1297,iSystems Security Limited,Cybersecurity Consultant,skipped_reject,SavedSearch:ai,,2026-06-13 18:02:39
1298,Pinpoint Asia,QA Automation Engineer - APAC Equities Trading - J12839,skipped_region,SavedSearch:ai,,2026-06-13 18:02:43
1299,Varadise Limited,DevOps Engineer/Senior DevOps Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 18:02:56
1300,KOS International Limited,Recruitment Consultant - Join KOS International Talent Group!,skipped_reject,SavedSearch:ai,,2026-06-13 18:03:10
1301,Hays Hong Kong Limited,System Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 18:03:25
1302,Sleek Tech Pte Ltd,Corporate Secretary Manager - Team Lead - Hong Kong,skipped_region,SavedSearch:ai,,2026-06-13 18:03:30
1303,West Kowloon Cultural District Authority,Data and Artificial Intelligence Architect,skipped_reject,SavedSearch:ai,,2026-06-13 18:03:44
1304,Orient Overseas Container Line Ltd (OOCL),Technical Analyst - SAP,skipped_reject,SavedSearch:ai,,2026-06-13 18:03:57
1305,CITIC Telecom International CPC Limited,(Senior) Product Consultant - Cybersecurity,skipped_reject,SavedSearch:ai,,2026-06-13 18:04:09
1306,Don Nelson Recruitment Limited,Senior Manager- IT (Manufacturing industry),skipped_reject,SavedSearch:ai,,2026-06-13 18:04:22
1307,Industrial and Commercial Bank of China (Asia) Limited,"Officer to Assistant Manager, Data Governance & Management, DMD",skipped_reject,SavedSearch:ai,,2026-06-13 18:04:41
1308,WallStone Partners & Company Limited,Business Analyst / Senior Business Analyst,skipped_reject,SavedSearch:ai,,2026-06-13 18:04:54
1309,Hong Kong Broadband Network Limited (HKBN),(Assistant) Analytics Manger - Digital and Data,skipped_reject,SavedSearch:ai,,2026-06-13 18:05:06
1310,AP Capital Limited,Business Management Manager,skipped_reject,SavedSearch:ai,,2026-06-13 18:05:19
1311,AXA Hong Kong and Macau,"Assistant Manager, Customer Analytics And Insights",skipped_reject,SavedSearch:ai,,2026-06-13 18:05:31
1312,Industries Polytex Limited,SENIOR RESEARCH ANALYST,skipped_region,SavedSearch:ai,,2026-06-13 18:05:35
1313,KPMG,Consultant / Senior Consultant - System Analyst (MJ007723),skipped_reject,SavedSearch:ai,,2026-06-13 18:05:51
1314,PARAQON Group ltd,DevOps & Platform Lead — Technology,skipped_region,SavedSearch:ai,,2026-06-13 18:05:56
1315,Ninesmart Limited,Senior Software & IoT Programmer/ Developer (5 days work),skipped_reject,SavedSearch:ai,,2026-06-13 18:06:09
1316,KPMG,"Manager / Senior Consultant – Distribution, Insurance Transformation (MJ007206)",skipped_reject,SavedSearch:ai,,2026-06-13 18:06:22
1317,CL Technical Services Ltd.,"Senior Web Developer (PHP, Python, Angular)",skipped_reject,SavedSearch:ai,,2026-06-13 18:06:35
1318,"The Bank of East Asia, Limited",Compliance Strategy & Data Science Manager,skipped_reject,SavedSearch:ai,,2026-06-13 18:06:47
1319,KLN Logistics (Hong Kong) Limited,Data Integration Engineer (Finance & Accounts Department),skipped_reject,SavedSearch:ai,,2026-06-13 18:07:00
1320,Hong Kong Exchanges & Clearing Ltd,AVP - Senior Systems Development Manager - Listing and Corporate Systems - IT,skipped_reject,SavedSearch:ai,,2026-06-13 18:07:13
1321,CMB Wing Lung Bank Limited,"Manager, System Infrastructure & Data Management (Retail Finance)",skipped_region,SavedSearch:ai,,2026-06-13 18:07:18
1322,PERSOL Hong Kong Limited,IT Sales Specialist (Cloud & IT Solutions),skipped_reject,SavedSearch:ai,,2026-06-13 18:07:31
1323,SAP Hong Kong Co. Limited,Solution Sales Expert - F&S,skipped_reject,SavedSearch:ai,,2026-06-13 18:07:41
1324,Retail Technology Asia Limited,"Senior Manager/ Manager,  Business Development and Key Account",skipped_region,SavedSearch:ai,,2026-06-13 18:07:45
1325,Sengu Capital Limited,Data Engineer – Reporting & Tools,skipped_region,SavedSearch:ai,,2026-06-13 18:07:51
1326,Newrecs Consultancy Limited,Cloud Data Engineer (Azure data platform),skipped_reject,SavedSearch:ai,,2026-06-13 18:08:05
1327,City University of Hong Kong,Postdoctoral Fellow in the Department of Biomedical Engineering [Ref. T/103/26],skipped_reject,SavedSearch:ai,,2026-06-13 18:08:19
1328,Asia Insurance,Project Manager – Employee Benefits (Job Ref: AI/PMEB/JD),skipped_region,SavedSearch:ai,,2026-06-13 18:08:23
1329,Shanxi Securities International Financial Holdings Limited,Quantitative Trading,skipped_reject,SavedSearch:ai,,2026-06-13 18:08:37
1330,Shanghai Commercial Bank Ltd,"Vice President, Enterprise Data Transformation",skipped_reject,SavedSearch:ai,,2026-06-13 18:08:51
1331,Recruit Logic Limited,"Data Manager, Java (Ibank, up to $126k)",skipped_region,SavedSearch:ai,,2026-06-13 18:08:56
1332,Hays Hong Kong Limited,Claims Transformation & Operations - Insurance - up to 1.2m,skipped_reject,SavedSearch:ai,,2026-06-13 18:09:11
1333,FUJIFILM BI,Project Manager,skipped_reject,SavedSearch:ai,,2026-06-13 18:09:30
1334,Captiare Limited,Project Director/ Senior Project Manager - consulting services,skipped_region,SavedSearch:ai,,2026-06-13 18:09:33
1335,BOC Group Life Assurance Company Ltd,Senior Operations Transformation Manager,skipped_reject,SavedSearch:ai,,2026-06-13 18:09:47
1336,Omni Group Asia Limited,Head of Solutions (SaaS/ Mar-tech),skipped_reject,SavedSearch:ai,,2026-06-13 18:09:58
1337,CyberWorld (Asia) Ltd,Channel Sales Manager,skipped_reject,SavedSearch:ai,,2026-06-13 18:10:07
1338,CBRE Limited,"Facilities Engineer (5 days, Cantonese)",skipped_reject,SavedSearch:ai,,2026-06-13 18:10:19
1339,Guotai Junan International Holdings Limited,Application Support,skipped_region,SavedSearch:ai,,2026-06-13 18:10:22
1340,CMB International Capital Corporation Limited,"Associate, Internal Audit (Data Analytics & Digital Audit)",skipped_region,SavedSearch:ai,,2026-06-13 18:10:25
1341,UDomain Web Hosting Co Ltd,Cyber Security Engineer (Penetration Tester),skipped_reject,SavedSearch:ai,,2026-06-13 18:10:36
1342,Chong Hing Bank Limited,"Section Head, Data Section (IT Development Dept.)",skipped_reject,SavedSearch:ai,,2026-06-13 18:10:53
1343,Statrys Corporate Services Limited,Sales Manager,skipped_region,SavedSearch:ai,,2026-06-13 18:10:56
1344,ShopBack Hong Kong Limited,"Associate Director, Business Development (Enterprise Accounts)",skipped_region,SavedSearch:ai,,2026-06-13 18:10:58
1345,Hong Kong Productivity Council,"Deputy Head, Autonomous Manufacturing",skipped_reject,SavedSearch:ai,,2026-06-13 18:11:10
1346,Hays Hong Kong Limited,Data Engineer/ Data Analyst,skipped_region,SavedSearch:ai,,2026-06-13 18:11:13
1347,The Education University of Hong Kong,IT Manager (Finance & Human Resources) (performing as Systems Analyst),skipped_reject,SavedSearch:ai,,2026-06-13 18:11:24
1348,KPMG,"Senior Consultant / Manager, Enterprise Systems Architect, TRNF (MJ007640)",skipped_region,SavedSearch:ai,,2026-06-13 18:11:27
1349,TEKsystems,Program Manager - MNC Big Technology / Sales / Regional,skipped_region,SavedSearch:ai,,2026-06-13 18:11:29
1350,KPMG,"Senior Consultant – Operations, Insurance Transformation ( MJ007207)",skipped_region,SavedSearch:ai,,2026-06-13 18:11:32
1351,NEC Hong Kong Limited,Pre-Sales Solution Architect,skipped_reject,SavedSearch:ai,,2026-06-13 18:11:45
1352,Winley Technology Limited,Technical Director / Senior Technical Manager,skipped_region,SavedSearch:ai,,2026-06-13 18:11:48
1353,BOCI-Prudential Asset Management Ltd,Quantitative Researcher,skipped_region,SavedSearch:ai,,2026-06-13 18:11:50
1354,Morgan Half International (Hong Kong) Limited,(SEO & GEO) Senior Content Growth Specialist (Fashion industry),skipped_reject,SavedSearch:ai,,2026-06-13 18:12:06
1355,G4S (Hong Kong - Holding) Limited,Head of Sales – Security Systems,skipped_reject,SavedSearch:ai,,2026-06-13 18:12:21
1356,PeopleSearch Limited,产品管理副总裁 (VP) / 资深产品经理 - 资产管理,skipped_region,SavedSearch:ai,,2026-06-13 18:12:24
1357,SmarTone Telecommunications Limited,User Experience Lead,skipped_reject,SavedSearch:ai,,2026-06-13 18:12:37
1358,Ninesmart Limited,Senior IoT Programmer (5 days work),skipped_reject,SavedSearch:ai,,2026-06-13 18:12:48
1359,Hong Kong Exchanges & Clearing Ltd,Senior Technical Project Manager,skipped_reject,SavedSearch:ai,,2026-06-13 18:12:59
1360,Renrui Human Resources Technology (Hong Kong) Limited,Senior Technical Engineer (Backend & DevOps),skipped_reject,SavedSearch:ai,,2026-06-13 18:13:12
1361,Hong Kong Microelectronics Research and Development Institute Company Limited,"Senior Vice President / Vice President, Strategic Projects",skipped_reject,SavedSearch:ai,,2026-06-13 18:13:26
1362,Lingnan University,Assistant Manager II (Technology Transfer and Entrepreneurship),skipped_reject,SavedSearch:ai,,2026-06-13 18:13:42
1363,Welab Bank Limited,"Product Manager, Deposit and Debit Card",skipped_region,SavedSearch:ai,,2026-06-13 18:13:44
1364,AI Chip Center for Emerging Smart Systems Limited,Principal Engineer / Principal Architect,skipped_reject,SavedSearch:ai,,2026-06-13 18:14:00
1365,Intelli Global Corporation Limited,Director of Software Development,skipped_reject,SavedSearch:ai,,2026-06-13 18:14:14
1366,The Hong Kong Jockey Club,"Manager, Data Governance (3-Year Contract)",skipped_reject,SavedSearch:ai,,2026-06-13 18:14:26
1367,Besteam Personnel Consultancy Limited,"Data Specialist, Manufacturing for Branded Power Tools. MNC, Tai Po",skipped_reject,SavedSearch:ai,,2026-06-13 18:14:37
1368,The University of Hong Kong,Technical Officer/Senior Technical Assistant,skipped_reject,SavedSearch:ai,,2026-06-13 18:14:50
1369,China Construction Bank (Asia) Corporation Limited,Process Reengineering Professional,skipped_reject,SavedSearch:ai,,2026-06-13 18:15:01
1370,Taylor Coulter,Cloud Engineer (Aliyun / Huawei Cloud),skipped_reject,SavedSearch:ai,,2026-06-13 18:15:20
1371,HKT,RPA Project Manager,skipped_region,SavedSearch:ai,,2026-06-13 18:15:23
1372,Long Bridge HK Limited,IT Governance and Operation Officer,skipped_region,SavedSearch:ai,,2026-06-13 18:15:26
1373,生命密碼有限公司,Technical Marketing Manager – Branding and Communications,skipped_reject,SavedSearch:ai,,2026-06-13 18:15:37
1374,Newrecs Consultancy Limited,(Many Cloud related Openings) Cloud Engineer/Manager/DevOps/Governance/Architect,skipped_reject,SavedSearch:ai,,2026-06-13 18:15:51
1375,Google (Hong Kong) Limited,"Analytical Lead, Large Customer Sales (English, Cantonese, Mandarin)",skipped_reject,SavedSearch:ai,,2026-06-13 18:16:02
1376,Recruit Logic Limited,"Embedded Software Engineer, Android (Leading gaming company, Up to $80k)",skipped_reject,SavedSearch:ai,,2026-06-13 18:16:14
1377,SiS International Limited,Product Manager/ Business Development Manager,skipped_reject,SavedSearch:ai,,2026-06-13 18:16:25
1378,FreightAmigo Services Limited,Digital Marketing Specialist / Head,skipped_reject,SavedSearch:ai,,2026-06-13 18:17:30
1379,Bank of China (Hong Kong) Limited,(Senior/Deputy) Digital Finance Manager,skipped_region,SavedSearch:ai,,2026-06-13 18:17:33
1380,CMB Wing Lung Bank Limited,"Manager, Business and Service Management (Retail Finance Headquarters)",skipped_reject,SavedSearch:ai,,2026-06-13 18:17:45
1381,Wisers Information Limited,Sales Director (Department Head),skipped_reject,SavedSearch:ai,,2026-06-13 18:18:01
1382,West Kowloon Cultural District Authority,"Manager, Data and Analytics",skipped_reject,SavedSearch:ai,,2026-06-13 18:18:17
1383,Clouds Shore,Chief Technology Officer 技術總監,skipped_reject,SavedSearch:ai,,2026-06-13 18:18:30
1384,Morgan Stanley Asia Limited,"Vice President , P4, Lead Cybersecurity Engineer",skipped_reject,SavedSearch:ai,,2026-06-13 18:18:44
1385,Tradelink Electronic Commerce Ltd,"Manager, Sales (Identity Management)",skipped_reject,SavedSearch:ai,,2026-06-13 18:18:56
1386,Hashkey Digital Asset Group Limited,"Senior Manager, Asset Management",skipped_region,SavedSearch:ai,,2026-06-13 18:18:59
1387,Cypress Telecom Limited,Senior Product Manager / Product Manager,skipped_reject,SavedSearch:ai,,2026-06-13 18:19:11
1388,ELE Bank Limited,"Senior Manager, Structured Products",skipped_reject,SavedSearch:ai,,2026-06-13 18:19:23
1389,Pinpoint Asia,Business Analyst - Leading Investment Bank - J12878,skipped_region,SavedSearch:ai,,2026-06-13 18:19:26
1390,KGI Hong Kong Limited,"Lead Product Manager, Client Digital Experience (Wealth Management)",skipped_region,SavedSearch:ai,,2026-06-13 18:19:28
